sample,100000,length,12898                                                                        
Time(ns),Vol(V)
00000000.000000,-0.006417
00010000.000000,-0.006417
00020000.000000,-0.006417
00030000.000000,-0.006417
00040000.000000,-0.006417
00050000.000000,-0.006417
00060000.000000,-0.006417
00070000.000000,-0.006417
00080000.000000,-0.006417
00090000.000000,-0.006417
00100000.000000,-0.006417
00110000.000000,-0.006417
00120000.000000,-0.006417
00130000.000000,-0.006417
00140000.000000,-0.006417
00150000.000000,-0.006417
00160000.000000,-0.006417
00170000.000000,-0.006417
00180000.000000,-0.006417
00190000.000000,-0.006417
00200000.000000,-0.006417
00210000.000000,-0.006417
00220000.000000,-0.006417
00230000.000000,-0.006417
00240000.000000,-0.006417
00250000.000000,-0.006417
00260000.000000,-0.006417
00270000.000000,-0.006417
00280000.000000,-0.006417
00290000.000000,-0.006417
00300000.000000,-0.006417
00310000.000000,-0.006417
00320000.000000,-0.006417
00330000.000000,-0.006417
00340000.000000,-0.006417
00350000.000000,-0.006417
00360000.000000,-0.006417
00370000.000000,-0.006417
00380000.000000,-0.006417
00390000.000000,-0.006417
00400000.000000,-0.006417
00410000.000000,0.004417
00420000.000000,-0.006417
00430000.000000,-0.006417
00440000.000000,-0.006417
00450000.000000,-0.006417
00460000.000000,-0.006417
00470000.000000,-0.006417
00480000.000000,-0.006417
00490000.000000,-0.006417
00500000.000000,-0.006417
00510000.000000,-0.006417
00520000.000000,-0.006417
00530000.000000,-0.006417
00540000.000000,-0.006417
00550000.000000,-0.006417
00560000.000000,-0.006417
00570000.000000,-0.006417
00580000.000000,-0.006417
00590000.000000,-0.006417
00600000.000000,-0.006417
00610000.000000,-0.006417
00620000.000000,-0.006417
00630000.000000,-0.006417
00640000.000000,-0.006417
00650000.000000,-0.006417
00660000.000000,-0.006417
00670000.000000,-0.006417
00680000.000000,-0.006417
00690000.000000,-0.006417
00700000.000000,-0.006417
00710000.000000,-0.006417
00720000.000000,-0.006417
00730000.000000,-0.006417
00740000.000000,-0.006417
00750000.000000,-0.006417
00760000.000000,-0.006417
00770000.000000,-0.006417
00780000.000000,-0.006417
00790000.000000,-0.006417
00800000.000000,-0.006417
00810000.000000,-0.006417
00820000.000000,-0.006417
00830000.000000,-0.006417
00840000.000000,-0.006417
00850000.000000,-0.006417
00860000.000000,0.004417
00870000.000000,-0.006417
00880000.000000,-0.006417
00890000.000000,-0.006417
00900000.000000,-0.006417
00910000.000000,-0.006417
00920000.000000,-0.006417
00930000.000000,-0.006417
00940000.000000,-0.006417
00950000.000000,-0.006417
00960000.000000,-0.006417
00970000.000000,-0.006417
00980000.000000,-0.006417
00990000.000000,-0.006417
01000000.000000,-0.006417
01010000.000000,-0.006417
01020000.000000,-0.006417
01030000.000000,-0.006417
01040000.000000,-0.006417
01050000.000000,-0.006417
01060000.000000,-0.006417
01070000.000000,-0.006417
01080000.000000,-0.006417
01090000.000000,0.004417
01100000.000000,-0.006417
01110000.000000,-0.006417
01120000.000000,-0.006417
01130000.000000,-0.006417
01140000.000000,-0.006417
01150000.000000,-0.006417
01160000.000000,-0.006417
01170000.000000,-0.006417
01180000.000000,-0.006417
01190000.000000,-0.006417
01200000.000000,-0.006417
01210000.000000,-0.006417
01220000.000000,-0.006417
01230000.000000,-0.006417
01240000.000000,-0.006417
01250000.000000,-0.006417
01260000.000000,-0.006417
01270000.000000,-0.006417
01280000.000000,-0.006417
01290000.000000,-0.006417
01300000.000000,-0.006417
01310000.000000,-0.006417
01320000.000000,-0.006417
01330000.000000,-0.006417
01340000.000000,-0.006417
01350000.000000,-0.006417
01360000.000000,-0.006417
01370000.000000,-0.006417
01380000.000000,-0.006417
01390000.000000,-0.006417
01400000.000000,-0.006417
01410000.000000,-0.006417
01420000.000000,-0.006417
01430000.000000,-0.006417
01440000.000000,-0.006417
01450000.000000,-0.006417
01460000.000000,-0.006417
01470000.000000,-0.006417
01480000.000000,-0.006417
01490000.000000,-0.006417
01500000.000000,-0.006417
01510000.000000,-0.006417
01520000.000000,-0.006417
01530000.000000,-0.006417
01540000.000000,-0.006417
01550000.000000,-0.006417
01560000.000000,-0.006417
01570000.000000,-0.006417
01580000.000000,-0.006417
01590000.000000,-0.006417
01600000.000000,-0.006417
01610000.000000,-0.006417
01620000.000000,-0.006417
01630000.000000,-0.006417
01640000.000000,0.004417
01650000.000000,-0.006417
01660000.000000,-0.006417
01670000.000000,-0.006417
01680000.000000,-0.006417
01690000.000000,-0.006417
01700000.000000,-0.006417
01710000.000000,-0.006417
